hexagram_id,name,chinese,pinyin,unicode,binary,upper_trigram,lower_trigram,upper_element,lower_element,category,polarity,action,action_polarity,voiceWeight,coherence,chaos,whimsy,darkTone,inject_primary,inject_secondary,porosity,reflection_past,reflection_present,reflection_future
1,The Creative,乾,qián,䷀,111111,Qian,Qian,Heaven,Heaven,sovereign,yang,ASSERT,yang,1.0,1.0,0.02,0.06,0.0,genesis_spark,genesis_spark,1,Past echo from The Creative: Heaven below Heaven — Sovereign command echoing from genesis revisited. The creative root feeds memory.,"Present voice of The Creative: 乾 qián — Heaven over Heaven. The Creative is the creative meeting creative, assert as sovereign.",Future signal from The Creative: next move leans assert within sovereign. The Heaven ascends from Heaven foundation.
2,The Receptive,坤,kūn,䷁,000000,Kun,Kun,Earth,Earth,transformer,yao,YIELD,yin,0.67,0.75,0.33,0.49,0.28,earthy_patience,earthy_patience,2,Past echo from The Receptive: Earth below Earth — Form dissolving into new shape revisited. The receptive root feeds memory.,"Present voice of The Receptive: 坤 kūn — Earth over Earth. The Receptive is the receptive meeting receptive, yield as transformer.",Future signal from The Receptive: next move leans yield within transformer. The Earth ascends from Earth foundation.
3,Difficulty at the Beginning,屯,zhūn,䷂,010001,Zhen,Kan,Thunder,Water,dissipator,yin,ADAPT,yao,0.59,0.43,0.63,0.38,0.46,sudden_awakening,deep_test,4,Past echo from Difficulty at the Beginning: Water below Thunder — Energy scattering before reassembly revisited. The abysmal root feeds memory.,"Present voice of Difficulty at the Beginning: 屯 zhūn — Thunder over Water. Difficulty at the Beginning is the arousing meeting abysmal, adapt as dissipator.",Future signal from Difficulty at the Beginning: next move leans adapt within dissipator. The Thunder ascends from Water foundation.
4,Youthful Folly,蒙,méng,䷃,100010,Kan,Gen,Water,Mountain,transformer,yao,WAIT,yin,0.69,0.81,0.25,0.3,0.26,deep_test,quiet_strength,2,Past echo from Youthful Folly: Mountain below Water — Form dissolving into new shape revisited. The still root feeds memory.,"Present voice of Youthful Folly: 蒙 méng — Water over Mountain. Youthful Folly is the abysmal meeting still, wait as transformer.",Future signal from Youthful Folly: next move leans wait within transformer. The Water ascends from Mountain foundation.
5,Waiting,需,xū,䷄,010111,Qian,Kan,Heaven,Water,dissipator,yin,WAIT,yin,0.57,0.6,0.44,0.19,0.39,genesis_spark,deep_test,4,Past echo from Waiting: Water below Heaven — Energy scattering before reassembly revisited. The abysmal root feeds memory.,"Present voice of Waiting: 需 xū — Heaven over Water. Waiting is the creative meeting abysmal, wait as dissipator.",Future signal from Waiting: next move leans wait within dissipator. The Heaven ascends from Water foundation.
6,Conflict,訟,sòng,䷅,111010,Kan,Qian,Water,Heaven,transformer,yao,ASSERT,yang,0.88,0.82,0.22,0.27,0.14,deep_test,genesis_spark,2,Past echo from Conflict: Heaven below Water — Form dissolving into new shape revisited. The creative root feeds memory.,"Present voice of Conflict: 訟 sòng — Water over Heaven. Conflict is the abysmal meeting creative, assert as transformer.",Future signal from Conflict: next move leans assert within transformer. The Water ascends from Heaven foundation.
7,The Army,師,shī,䷆,000010,Kan,Kun,Water,Earth,sovereign,yang,ASSERT,yang,0.92,0.92,0.15,0.21,0.29,deep_test,earthy_patience,1,Past echo from The Army: Earth below Water — Sovereign command echoing from genesis revisited. The receptive root feeds memory.,"Present voice of The Army: 師 shī — Water over Earth. The Army is the abysmal meeting receptive, assert as sovereign.",Future signal from The Army: next move leans assert within sovereign. The Water ascends from Earth foundation.
8,Holding Together,比,bǐ,䷇,010000,Kun,Kan,Earth,Water,transformer,yao,YIELD,yin,0.7,0.77,0.3,0.46,0.22,earthy_patience,deep_test,2,Past echo from Holding Together: Water below Earth — Form dissolving into new shape revisited. The abysmal root feeds memory.,"Present voice of Holding Together: 比 bǐ — Earth over Water. Holding Together is the receptive meeting abysmal, yield as transformer.",Future signal from Holding Together: next move leans yield within transformer. The Earth ascends from Water foundation.
9,Taming Power of the Small,小畜,xiǎo chù,䷈,110111,Qian,Xun,Heaven,Wind,dissipator,yin,ADAPT,yao,0.67,0.48,0.55,0.29,0.28,genesis_spark,soft_persistence,4,Past echo from Taming Power of the Small: Wind below Heaven — Energy scattering before reassembly revisited. The gentle root feeds memory.,"Present voice of Taming Power of the Small: 小畜 xiǎo chù — Heaven over Wind. Taming Power of the Small is the creative meeting gentle, adapt as dissipator.",Future signal from Taming Power of the Small: next move leans adapt within dissipator. The Heaven ascends from Wind foundation.
10,Treading,履,lǚ,䷉,111011,Dui,Qian,Lake,Heaven,sovereign,yang,ADAPT,yao,0.97,0.88,0.15,0.19,0.0,open_pleasure,genesis_spark,1,Past echo from Treading: Heaven below Lake — Sovereign command echoing from genesis revisited. The creative root feeds memory.,"Present voice of Treading: 履 lǚ — Lake over Heaven. Treading is the joyous meeting creative, adapt as sovereign.",Future signal from Treading: next move leans adapt within sovereign. The Lake ascends from Heaven foundation.
