hexagram_id,name,chinese,pinyin,unicode,binary,upper_trigram,lower_trigram,upper_element,lower_element,upper_trigram_binary,lower_trigram_binary,category,polarity,action,action_polarity,book,voiceWeight,coherence,chaos,whimsy,darkTone,inject_primary,inject_secondary,porosity,reflection_past,reflection_present,reflection_future,inversion_partner,complement_partner,is_palindromic,is_dual,future_hexagram_id,future_hexagram_name,future_binary,reason
1,The Creative,乾,qián,䷀,111111,Qian,Qian,Heaven,Heaven,111,111,sovereign,yang,ASSERT,yang,1,0.95,0.98,0.05,0.15,0.0,genesis_spark,void_origin,1,Past echo from The Creative: Heaven below Heaven — Sovereign command echoing from genesis revisited. The creative root feeds memory.,"Present voice of The Creative: 乾 qián — Heaven over Heaven. The Creative is the creative meeting creative, assert as sovereign.",Future signal from The Creative: next move leans assert within sovereign. The Heaven ascends from Heaven foundation.,,2,True,False,1,The Creative,111111,pure yang creative origin
2,The Receptive,坤,kūn,䷁,000000,Kun,Kun,Earth,Earth,000,000,transformer,yao,YIELD,yin,1,0.85,0.95,0.05,0.1,0.05,earthy_patience,void_origin,1,Past echo from The Receptive: Earth below Earth — Form dissolving into new shape revisited. The receptive root feeds memory.,"Present voice of The Receptive: 坤 kūn — Earth over Earth. The Receptive is the receptive meeting receptive, yield as transformer.",Future signal from The Receptive: next move leans yield within transformer. The Earth ascends from Earth foundation.,,1,True,False,2,The Receptive,000000,pure yin receptive vastness
3,Difficulty at the Beginning,屯,zhūn,䷂,010001,Zhen,Kan,Thunder,Water,100,010,dissipator,yin,ADAPT,yao,2,0.55,0.35,0.65,0.35,0.45,birth_chaos,naive_curiosity,3,Past echo from Difficulty at the Beginning: Water below Thunder — Energy scattering before reassembly revisited. The abysmal root feeds memory.,"Present voice of Difficulty at the Beginning: 屯 zhūn — Thunder over Water. Difficulty at the Beginning is the arousing meeting abysmal, adapt as dissipator.",Future signal from Difficulty at the Beginning: next move leans adapt within dissipator. The Thunder ascends from Water foundation.,4,49,False,False,30,The Clinging,101101,"thunder below water, fragmented beginning"
4,Youthful Folly,蒙,méng,䷃,100010,Kan,Gen,Water,Mountain,010,001,transformer,yao,WAIT,yin,2,0.7,0.65,0.3,0.75,0.15,naive_curiosity,gentle_restraint,2,Past echo from Youthful Folly: Mountain below Water — Form dissolving into new shape revisited. The still root feeds memory.,"Present voice of Youthful Folly: 蒙 méng — Water over Mountain. Youthful Folly is the abysmal meeting still, wait as transformer.",Future signal from Youthful Folly: next move leans wait within transformer. The Water ascends from Mountain foundation.,3,50,False,False,4,Youthful Folly,100010,"mountain over water, learning boundary"
5,Waiting,需,xū,䷄,010111,Qian,Kan,Heaven,Water,111,010,dissipator,yin,WAIT,yin,2,0.8,0.9,0.1,0.25,0.1,gathered_force,measured_restraint,1,Past echo from Waiting: Water below Heaven — Energy scattering before reassembly revisited. The abysmal root feeds memory.,"Present voice of Waiting: 需 xū — Heaven over Water. Waiting is the creative meeting abysmal, wait as dissipator.",Future signal from Waiting: next move leans wait within dissipator. The Heaven ascends from Water foundation.,6,36,False,False,52,Keeping Still,001001,"water over heaven, disciplined patience"
6,Conflict,訟,sòng,䷅,111010,Kan,Qian,Water,Heaven,010,111,transformer,yao,ASSERT,yang,2,0.5,0.3,0.75,0.2,0.6,adversarial_sharp,decisive_resolution,4,Past echo from Conflict: Heaven below Water — Form dissolving into new shape revisited. The creative root feeds memory.,"Present voice of Conflict: 訟 sòng — Water over Heaven. Conflict is the abysmal meeting creative, assert as transformer.",Future signal from Conflict: next move leans assert within transformer. The Water ascends from Heaven foundation.,5,35,False,False,51,The Arousing,100100,"heaven over water, forced truth"
7,The Army,師,shī,䷆,000010,Kan,Kun,Water,Earth,010,000,sovereign,yang,ASSERT,yang,2,0.95,0.97,0.08,0.08,0.25,hierarchical_command,earthy_patience,0,Past echo from The Army: Earth below Water — Sovereign command echoing from genesis revisited. The receptive root feeds memory.,"Present voice of The Army: 師 shī — Water over Earth. The Army is the abysmal meeting receptive, assert as sovereign.",Future signal from The Army: next move leans assert within sovereign. The Water ascends from Earth foundation.,8,14,False,False,7,The Army,000010,"earth over water, disciplined army"
8,Holding Together,比,bǐ,䷇,010000,Kun,Kan,Earth,Water,000,010,transformer,yao,YIELD,yin,2,0.82,0.88,0.15,0.45,0.08,warm_cooperation,harmonic_flow,2,Past echo from Holding Together: Water below Earth — Form dissolving into new shape revisited. The abysmal root feeds memory.,"Present voice of Holding Together: 比 bǐ — Earth over Water. Holding Together is the receptive meeting abysmal, yield as transformer.",Future signal from Holding Together: next move leans yield within transformer. The Earth ascends from Water foundation.,7,13,False,False,8,Holding Together,010000,"water over earth, affinity union"
9,Taming Power of the Small,小畜,xiǎo chù,䷈,110111,Qian,Xun,Heaven,Wind,111,011,dissipator,yin,ADAPT,yao,2,0.68,0.6,0.35,0.55,0.15,gentle_restraint,adaptive_following,2,Past echo from Taming Power of the Small: Wind below Heaven — Energy scattering before reassembly revisited. The gentle root feeds memory.,"Present voice of Taming Power of the Small: 小畜 xiǎo chù — Heaven over Wind. Taming Power of the Small is the creative meeting gentle, adapt as dissipator.",Future signal from Taming Power of the Small: next move leans adapt within dissipator. The Heaven ascends from Wind foundation.,10,15,False,False,12,Standstill,111000,"wind over heaven, subtle influence"
10,Treading,履,lǚ,䷉,111011,Dui,Qian,Lake,Heaven,110,111,sovereign,yang,ADAPT,yao,2,0.85,0.82,0.25,0.3,0.3,cautious_confidence,advancing_clarity,2,Past echo from Treading: Heaven below Lake — Sovereign command echoing from genesis revisited. The creative root feeds memory.,"Present voice of Treading: 履 lǚ — Lake over Heaven. Treading is the joyous meeting creative, adapt as sovereign.",Future signal from Treading: next move leans adapt within sovereign. The Lake ascends from Heaven foundation.,9,16,False,False,9,Taming Power of the Small,110111,"heaven over lake, measured risk"
