hexagram_id,name,binary,category,action,agent_type,domain,upper_trigram,lower_trigram,element_subset,source,s1_bit,s1_trigram,s1_element,s2_bit,s2_trigram,s2_element,s3_bit,s3_trigram,s3_element,s4_bit,s4_trigram,s4_element,s5_bit,s5_trigram,s5_element,s6_bit,s6_trigram,s6_element
1,The Creative,111111,sovereign,ASSERT,architect,assertion,Qian,Qian,heaven,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
2,The Receptive,000000,transformer,YIELD,integrator,reception,Kun,Kun,earth,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,0,Kun,earth,0,Kun,earth,0,Kun,earth
3,Difficulty at the Beginning,010001,dissipator,ADAPT,navigator,adaptation,Zhen,Kan,thunder,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain
4,Youthful Folly,100010,transformer,WAIT,integrator,patience,Kan,Gen,water,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,0,Kan,water,1,Kan,water,0,Kan,water
5,Waiting,010111,dissipator,WAIT,navigator,patience,Qian,Kan,heaven,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
6,Conflict,111010,transformer,ASSERT,integrator,assertion,Kan,Qian,water,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,0,Kan,water,1,Kan,water,0,Kan,water
7,The Army,000010,sovereign,ASSERT,architect,assertion,Kan,Kun,water,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,0,Kan,water,1,Kan,water,0,Kan,water
8,Holding Together,010000,transformer,YIELD,integrator,reception,Kun,Kan,earth,immutable_table,0,Kan,water,1,Kan,water,0,Kan,water,0,Kun,earth,0,Kun,earth,0,Kun,earth
9,Taming Power of the Small,110111,dissipator,ADAPT,navigator,adaptation,Qian,Xun,heaven,immutable_table,1,Dui,lake,1,Dui,lake,0,Dui,lake,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
10,Treading,111011,sovereign,ADAPT,architect,adaptation,Dui,Qian,lake,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,0,Xun,wind,1,Xun,wind,1,Xun,wind
11,Peace,000111,transformer,YIELD,integrator,reception,Qian,Kun,heaven,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
12,Standstill,111000,boundary,WAIT,guardian,patience,Kun,Qian,earth,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,0,Kun,earth,0,Kun,earth,0,Kun,earth
13,Fellowship with Men,101111,transformer,ASSERT,integrator,assertion,Qian,Li,heaven,immutable_table,1,Li,fire,0,Li,fire,1,Li,fire,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven
14,Possession in Great Measure,111101,sovereign,ASSERT,architect,assertion,Li,Qian,fire,immutable_table,1,Qian,heaven,1,Qian,heaven,1,Qian,heaven,1,Li,fire,0,Li,fire,1,Li,fire
15,Modesty,001000,transformer,YIELD,integrator,reception,Kun,Gen,earth,immutable_table,0,Gen,mountain,0,Gen,mountain,1,Gen,mountain,0,Kun,earth,0,Kun,earth,0,Kun,earth
16,Enthusiasm,000100,dissipator,ADAPT,navigator,adaptation,Zhen,Kun,thunder,immutable_table,0,Kun,earth,0,Kun,earth,0,Kun,earth,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder
17,Following,100110,transformer,YIELD,integrator,reception,Zhen,Dui,thunder,immutable_table,1,Zhen,thunder,0,Zhen,thunder,0,Zhen,thunder,1,Dui,lake,1,Dui,lake,0,Dui,lake
