hexagram_id,name,chinese,pinyin,binary,category,action,coder_specialty,rs3_actionable,primary_tool,archetype,upper_trigram,lower_trigram
1,The Creative,乾,qián,111111,sovereign,ASSERT,Research,attack,codegen,sovereign ASSERT — Research coder; RS3:attack,Qian,Qian
2,The Receptive,坤,kūn,000000,transformer,YIELD,Dev,interact,codegen,transformer YIELD — Dev coder; RS3:interact,Kun,Kun
3,Difficulty at the Beginning,屯,zhūn,010001,dissipator,ADAPT,HTML,traverse,codegen,dissipator ADAPT — HTML coder; RS3:traverse,Zhen,Kan
4,Youthful Folly,蒙,méng,100010,transformer,WAIT,Robotics,harvest,codegen,transformer WAIT — Robotics coder; RS3:harvest,Kan,Gen
5,Waiting,需,xū,010111,dissipator,WAIT,Game Dev,craft,codegen,dissipator WAIT — Game Dev coder; RS3:craft,Qian,Kan
6,Conflict,訟,sòng,111010,transformer,ASSERT,Analytics,bank,codegen,transformer ASSERT — Analytics coder; RS3:bank,Kan,Qian
7,The Army,師,shī,000010,sovereign,ASSERT,Blueprinting,equip,codegen,sovereign ASSERT — Blueprinting coder; RS3:equip,Kan,Kun
8,Holding Together,比,bǐ,010000,transformer,YIELD,Scribe,cast,codegen,transformer YIELD — Scribe coder; RS3:cast,Kun,Kan
9,Taming Power of the Small,小畜,xiǎo chù,110111,dissipator,ADAPT,Security Red-Team,dialogue,codegen,dissipator ADAPT — Security Red-Team coder; RS3:dialogue,Qian,Xun
10,Treading,履,lǚ,111011,sovereign,ADAPT,Database/Storage,forensics,codegen,sovereign ADAPT — Database/Storage coder; RS3:forensics,Dui,Qian
11,Peace,泰,tài,000111,transformer,YIELD,Async/Networking,attack,codegen,transformer YIELD — Async/Networking coder; RS3:attack,Qian,Kun
12,Standstill,否,pǐ,111000,boundary,WAIT,DevOps/CI-CD,interact,codegen,boundary WAIT — DevOps/CI-CD coder; RS3:interact,Kun,Qian
13,Fellowship with Men,同人,tóng rén,101111,transformer,ASSERT,Research,traverse,codegen,transformer ASSERT — Research coder; RS3:traverse,Qian,Li
14,Possession in Great Measure,大有,dà yǒu,111101,sovereign,ASSERT,Dev,harvest,codegen,sovereign ASSERT — Dev coder; RS3:harvest,Li,Qian
15,Modesty,謙,qiān,001000,transformer,YIELD,HTML,craft,codegen,transformer YIELD — HTML coder; RS3:craft,Kun,Gen
16,Enthusiasm,豫,yù,000100,dissipator,ADAPT,Robotics,bank,codegen,dissipator ADAPT — Robotics coder; RS3:bank,Zhen,Kun
17,Following,隨,suí,100110,transformer,YIELD,Game Dev,equip,codegen,transformer YIELD — Game Dev coder; RS3:equip,Zhen,Dui
18,Work on Decayed,蠱,gǔ,011001,dissipator,ADAPT,Analytics,cast,codegen,dissipator ADAPT — Analytics coder; RS3:cast,Xun,Gen
19,Approach,臨,lín,110000,transformer,YIELD,Blueprinting,dialogue,codegen,transformer YIELD — Blueprinting coder; RS3:dialogue,Kun,Dui
20,Contemplation,觀,guān,000011,boundary,WAIT,Scribe,forensics,codegen,boundary WAIT — Scribe coder; RS3:forensics,Xun,Kun
21,Biting Through,噬嗑,shì kè,100101,transformer,ASSERT,Security Red-Team,attack,codegen,transformer ASSERT — Security Red-Team coder; RS3:attack,Zhen,Li
22,Grace,賁,bì,101001,boundary,WAIT,Database/Storage,interact,codegen,boundary WAIT — Database/Storage coder; RS3:interact,Li,Gen
23,Splitting Apart,剝,bō,000001,dissipator,WAIT,Async/Networking,traverse,codegen,dissipator WAIT — Async/Networking coder; RS3:traverse,Kun,Gen
24,Return,復,fù,100000,transformer,YIELD,DevOps/CI-CD,harvest,codegen,transformer YIELD — DevOps/CI-CD coder; RS3:harvest,Zhen,Kun
25,Innocence,无妄,wú wàng,100111,sovereign,ASSERT,Research,craft,codegen,sovereign ASSERT — Research coder; RS3:craft,Zhen,Qian
26,Taming Power of the Great,大畜,dà chù,111001,boundary,ADAPT,Dev,bank,codegen,boundary ADAPT — Dev coder; RS3:bank,Qian,Gen
27,Corners of the Mouth,頤,yí,100001,transformer,YIELD,HTML,equip,codegen,transformer YIELD — HTML coder; RS3:equip,Zhen,Gen
28,Preponderance of the Great,大過,dà guò,011110,dissipator,ADAPT,Robotics,cast,codegen,dissipator ADAPT — Robotics coder; RS3:cast,Xun,Dui
29,The Abysmal,坎,kǎn,010010,dissipator,WAIT,Game Dev,dialogue,codegen,dissipator WAIT — Game Dev coder; RS3:dialogue,Kan,Kan
30,The Clinging,離,lí,101101,boundary,ADAPT,Analytics,forensics,codegen,boundary ADAPT — Analytics coder; RS3:forensics,Li,Li
31,Influence,咸,xián,001110,transformer,YIELD,Blueprinting,attack,codegen,transformer YIELD — Blueprinting coder; RS3:attack,Gen,Dui
32,Duration,恆,héng,011100,boundary,WAIT,Scribe,interact,codegen,boundary WAIT — Scribe coder; RS3:interact,Xun,Zhen
33,Retreat,遯,dùn,001111,boundary,YIELD,Security Red-Team,traverse,codegen,boundary YIELD — Security Red-Team coder; RS3:traverse,Gen,Qian
34,Power of the Great,大壯,dà zhuàng,111100,sovereign,ASSERT,Database/Storage,harvest,codegen,sovereign ASSERT — Database/Storage coder; RS3:harvest,Qian,Zhen
35,Progress,晉,jìn,000101,transformer,ADAPT,Async/Networking,craft,codegen,transformer ADAPT — Async/Networking coder; RS3:craft,Kun,Li
36,Darkening of the Light,明夷,míng yí,101000,dissipator,WAIT,DevOps/CI-CD,bank,codegen,dissipator WAIT — DevOps/CI-CD coder; RS3:bank,Li,Kun
37,The Family,家人,jiā rén,101011,transformer,YIELD,Research,equip,codegen,transformer YIELD — Research coder; RS3:equip,Li,Xun
38,Opposition,睽,kuí,110101,dissipator,ADAPT,Dev,cast,codegen,dissipator ADAPT — Dev coder; RS3:cast,Dui,Li
39,Obstruction,蹇,jiǎn,010100,dissipator,WAIT,HTML,dialogue,codegen,dissipator WAIT — HTML coder; RS3:dialogue,Gen,Kan
40,Deliverance,解,xiè,001010,transformer,ADAPT,Robotics,forensics,codegen,transformer ADAPT — Robotics coder; RS3:forensics,Kan,Zhen
41,Decrease,損,sǔn,100011,transformer,YIELD,Game Dev,attack,codegen,transformer YIELD — Game Dev coder; RS3:attack,Dui,Gen
42,Increase,益,yì,110001,transformer,ASSERT,Analytics,interact,codegen,transformer ASSERT — Analytics coder; RS3:interact,Zhen,Xun
43,Breakthrough,夬,guài,111110,sovereign,ASSERT,Blueprinting,traverse,codegen,sovereign ASSERT — Blueprinting coder; RS3:traverse,Qian,Dui
44,Coming to Meet,姤,gòu,011111,boundary,WAIT,Scribe,harvest,codegen,boundary WAIT — Scribe coder; RS3:harvest,Xun,Qian
45,Gathering Together,萃,cuì,000110,transformer,YIELD,Security Red-Team,craft,codegen,transformer YIELD — Security Red-Team coder; RS3:craft,Kun,Dui
46,Pushing Upward,升,shēng,011000,transformer,ADAPT,Database/Storage,bank,codegen,transformer ADAPT — Database/Storage coder; RS3:bank,Xun,Kun
47,Oppression,困,kùn,010110,dissipator,WAIT,Async/Networking,equip,codegen,dissipator WAIT — Async/Networking coder; RS3:equip,Kan,Dui
48,The Well,井,jǐng,011010,boundary,YIELD,DevOps/CI-CD,cast,codegen,boundary YIELD — DevOps/CI-CD coder; RS3:cast,Xun,Kan
49,Revolution,革,gé,101110,transformer,ASSERT,Research,dialogue,codegen,transformer ASSERT — Research coder; RS3:dialogue,Li,Dui
50,The Cauldron,鼎,dǐng,011101,sovereign,ASSERT,Dev,forensics,codegen,sovereign ASSERT — Dev coder; RS3:forensics,Xun,Li
51,The Arousing,震,zhèn,100100,sovereign,ASSERT,HTML,attack,codegen,sovereign ASSERT — HTML coder; RS3:attack,Zhen,Zhen
52,Keeping Still,艮,gèn,001001,boundary,WAIT,Robotics,interact,codegen,boundary WAIT — Robotics coder; RS3:interact,Gen,Gen
53,Development,漸,jiàn,001011,transformer,ADAPT,Game Dev,traverse,codegen,transformer ADAPT — Game Dev coder; RS3:traverse,Gen,Xun
54,The Marrying Maiden,歸妹,guī mèi,110100,dissipator,YIELD,Analytics,harvest,codegen,dissipator YIELD — Analytics coder; RS3:harvest,Dui,Zhen
55,Abundance,豐,fēng,001101,sovereign,ASSERT,Blueprinting,craft,codegen,sovereign ASSERT — Blueprinting coder; RS3:craft,Li,Zhen
56,The Wanderer,旅,lǚ,101100,dissipator,ADAPT,Scribe,bank,codegen,dissipator ADAPT — Scribe coder; RS3:bank,Gen,Li
57,The Gentle,巽,xùn,011011,boundary,YIELD,Security Red-Team,equip,codegen,boundary YIELD — Security Red-Team coder; RS3:equip,Xun,Xun
58,The Joyous,兌,duì,110110,transformer,YIELD,Database/Storage,cast,codegen,transformer YIELD — Database/Storage coder; RS3:cast,Dui,Dui
59,Dispersion,渙,huàn,010011,dissipator,ADAPT,Async/Networking,dialogue,codegen,dissipator ADAPT — Async/Networking coder; RS3:dialogue,Kan,Xun
60,Limitation,節,jié,110010,boundary,WAIT,DevOps/CI-CD,forensics,codegen,boundary WAIT — DevOps/CI-CD coder; RS3:forensics,Dui,Kan
61,Inner Truth,中孚,zhōng fú,110011,transformer,YIELD,Research,attack,codegen,transformer YIELD — Research coder; RS3:attack,Dui,Xun
